DI,Acorn ,Fert,Competition
6.225,59.77,Control,no
6.487,60.98,Control,no
4.919,14.73,Control,yes
5.13,19.28,Control,yes
5.417,34.25,Control,yes
5.359,35.53,Control,yes
7.614,87.73,Control,no
6.352,63.21,Control,no
4.975,24.25,Control,yes
6.93,64.34,Control,no
6.248,52.92,Control,no
5.451,32.35,Control,yes
6.013,53.61,Control,yes
5.928,54.86,Control,yes
6.264,64.81,Control,no
7.181,73.24,Control,no
7.001,80.64,Control,no
4.426,18.89,Control,yes
7.302,75.49,Control,no
5.836,46.73,Control,yes
10.253,116.05,Fertilized,yes
6.958,38.94,Fertilized,no
8.001,60.77,Fertilized,no
9.039,84.37,Fertilized,yes
8.91,70.11,Fertilized,yes
6.106,14.95,Fertilized,yes
7.691,70.7,Fertilized,no
8.988,80.31,Fertilized,yes
8.975,82.35,Fertilized,yes
9.844,105.07,Fertilized,yes
8.508,73.79,Fertilized,yes
7.354,50.08,Fertilized,no
8.643,78.28,Fertilized,yes
7.916,41.48,Fertilized,no
9.351,98.47,Fertilized,yes
7.066,40.15,Fertilized,no
8.158,52.26,Fertilized,no
7.382,46.64,Fertilized,no
8.515,71.01,Fertilized,yes
8.53,83.03,Fertilized,yes
