Biomasa,Luz,Agua
3.039767105,Nivel 1,Sequia estival
3.57351521,Nivel 1,Sequia estival
3.669172407,Nivel 1,Sequia estival
4.592333637,Nivel 1,Sequia estival
4.337278433,Nivel 1,Sequia estival
2.254230208,Nivel 1,Sequia estival
4.120927747,Nivel 1,Sequia estival
2.450195201,Nivel 1,Sequia estival
4.460790449,Nivel 1,Sequia estival
3.50549022,Nivel 1,Sequia estival
3.494808318,Nivel 1,Sequia estival
2.803401268,Nivel 1,Sequia estival
3.906774394,Nivel 1,Sequia estival
3.161899808,Nivel 1,Sequia estival
3.805578936,Nivel 1,Sequia estival
3.613398898,Nivel 1,Sequia estival
2.905758833,Nivel 1,Sequia estival
3.83390852,Nivel 2,Sequia estival
4.243265843,Nivel 2,Sequia estival
4.200554596,Nivel 2,Sequia estival
4.589319317,Nivel 2,Sequia estival
3.825999634,Nivel 2,Sequia estival
3.983745672,Nivel 2,Sequia estival
4.386828883,Nivel 2,Sequia estival
4.481018664,Nivel 2,Sequia estival
4.052700107,Nivel 2,Sequia estival
4.506790951,Nivel 2,Sequia estival
3.556636397,Nivel 2,Sequia estival
3.456546585,Nivel 2,Sequia estival
3.788769973,Nivel 2,Sequia estival
5.128334874,Nivel 2,Sequia estival
4.666188083,Nivel 2,Sequia estival
4.890898158,Nivel 3,Sequia estival
4.359968636,Nivel 3,Sequia estival
4.651058789,Nivel 3,Sequia estival
4.004907311,Nivel 3,Sequia estival
3.775475238,Nivel 3,Sequia estival
5.303348711,Nivel 3,Sequia estival
4.913395856,Nivel 3,Sequia estival
4.355570292,Nivel 3,Sequia estival
5.346758612,Nivel 3,Sequia estival
4.210947477,Nivel 3,Sequia estival
4.643838976,Nivel 3,Sequia estival
3.762373176,Nivel 3,Sequia estival
4.784045868,Nivel 3,Sequia estival
5.061068511,Nivel 3,Sequia estival
4.732331057,Nivel 1,Lluvia estival
4.940284857,Nivel 1,Lluvia estival
4.371103162,Nivel 1,Lluvia estival
4.792484194,Nivel 1,Lluvia estival
5.155838957,Nivel 1,Lluvia estival
4.554048407,Nivel 1,Lluvia estival
4.723659818,Nivel 1,Lluvia estival
4.227932386,Nivel 1,Lluvia estival
4.82789885,Nivel 1,Lluvia estival
4.478339002,Nivel 1,Lluvia estival
4.580676753,Nivel 1,Lluvia estival
5.209544624,Nivel 1,Lluvia estival
3.889086016,Nivel 1,Lluvia estival
4.98408474,Nivel 2,Lluvia estival
3.739064897,Nivel 2,Lluvia estival
2.972022406,Nivel 2,Lluvia estival
3.883743897,Nivel 2,Lluvia estival
4.625732934,Nivel 2,Lluvia estival
2.910897715,Nivel 2,Lluvia estival
3.133804555,Nivel 2,Lluvia estival
2.12011379,Nivel 2,Lluvia estival
3.755660112,Nivel 2,Lluvia estival
4.844169208,Nivel 2,Lluvia estival
4.795365093,Nivel 2,Lluvia estival
4.137797896,Nivel 2,Lluvia estival
3.620239758,Nivel 2,Lluvia estival
5.169997182,Nivel 2,Lluvia estival
5.101854445,Nivel 2,Lluvia estival
3.794693623,Nivel 2,Lluvia estival
2.544336787,Nivel 3,Lluvia estival
3.92677188,Nivel 3,Lluvia estival
3.94853509,Nivel 3,Lluvia estival
4.316454725,Nivel 3,Lluvia estival
2.861381915,Nivel 3,Lluvia estival
3.740573058,Nivel 3,Lluvia estival
3.361565018,Nivel 3,Lluvia estival
4.354861314,Nivel 3,Lluvia estival
2.486575381,Nivel 3,Lluvia estival
3.053993104,Nivel 3,Lluvia estival
2.69510096,Nivel 3,Lluvia estival
2.866570627,Nivel 3,Lluvia estival
4.581868591,Nivel 3,Lluvia estival
2.35077431,Nivel 3,Lluvia estival
2.734193003,Nivel 3,Lluvia estival
2.966241014,Nivel 3,Lluvia estival
